month_date,month,year,bls_level_000s,signed_change_000s,signed_change_jobs,report_status,source_url,notes
2020-01-01,Jan 2020,2020,152031,237,237000,Available,https://data.bls.gov/timeseries/CES0000000001?output_view=data&include_graphs=true,"Computed as current-month total nonfarm level minus prior-month level, in thousands."
2020-02-01,Feb 2020,2020,152293,262,262000,Available,https://data.bls.gov/timeseries/CES0000000001?output_view=data&include_graphs=true,"Computed as current-month total nonfarm level minus prior-month level, in thousands."
2020-03-01,Mar 2020,2020,150895,-1398,-1398000,Available,https://data.bls.gov/timeseries/CES0000000001?output_view=data&include_graphs=true,"Computed as current-month total nonfarm level minus prior-month level, in thousands."
2020-04-01,Apr 2020,2020,130426,-20469,-20469000,Available,https://data.bls.gov/timeseries/CES0000000001?output_view=data&include_graphs=true,"Computed as current-month total nonfarm level minus prior-month level, in thousands."
2020-05-01,May 2020,2020,133040,2614,2614000,Available,https://data.bls.gov/timeseries/CES0000000001?output_view=data&include_graphs=true,"Computed as current-month total nonfarm level minus prior-month level, in thousands."
2020-06-01,Jun 2020,2020,137671,4631,4631000,Available,https://data.bls.gov/timeseries/CES0000000001?output_view=data&include_graphs=true,"Computed as current-month total nonfarm level minus prior-month level, in thousands."
2020-07-01,Jul 2020,2020,139255,1584,1584000,Available,https://data.bls.gov/timeseries/CES0000000001?output_view=data&include_graphs=true,"Computed as current-month total nonfarm level minus prior-month level, in thousands."
2020-08-01,Aug 2020,2020,140821,1566,1566000,Available,https://data.bls.gov/timeseries/CES0000000001?output_view=data&include_graphs=true,"Computed as current-month total nonfarm level minus prior-month level, in thousands."
2020-09-01,Sep 2020,2020,141770,949,949000,Available,https://data.bls.gov/timeseries/CES0000000001?output_view=data&include_graphs=true,"Computed as current-month total nonfarm level minus prior-month level, in thousands."
2020-10-01,Oct 2020,2020,142460,690,690000,Available,https://data.bls.gov/timeseries/CES0000000001?output_view=data&include_graphs=true,"Computed as current-month total nonfarm level minus prior-month level, in thousands."
2020-11-01,Nov 2020,2020,142733,273,273000,Available,https://data.bls.gov/timeseries/CES0000000001?output_view=data&include_graphs=true,"Computed as current-month total nonfarm level minus prior-month level, in thousands."
2020-12-01,Dec 2020,2020,142548,-185,-185000,Available,https://data.bls.gov/timeseries/CES0000000001?output_view=data&include_graphs=true,"Computed as current-month total nonfarm level minus prior-month level, in thousands."
2021-01-01,Jan 2021,2021,142863,315,315000,Available,https://data.bls.gov/timeseries/CES0000000001?output_view=data&include_graphs=true,"Computed as current-month total nonfarm level minus prior-month level, in thousands."
2021-02-01,Feb 2021,2021,143380,517,517000,Available,https://data.bls.gov/timeseries/CES0000000001?output_view=data&include_graphs=true,"Computed as current-month total nonfarm level minus prior-month level, in thousands."
2021-03-01,Mar 2021,2021,144232,852,852000,Available,https://data.bls.gov/timeseries/CES0000000001?output_view=data&include_graphs=true,"Computed as current-month total nonfarm level minus prior-month level, in thousands."
2021-04-01,Apr 2021,2021,144587,355,355000,Available,https://data.bls.gov/timeseries/CES0000000001?output_view=data&include_graphs=true,"Computed as current-month total nonfarm level minus prior-month level, in thousands."
2021-05-01,May 2021,2021,145065,478,478000,Available,https://data.bls.gov/timeseries/CES0000000001?output_view=data&include_graphs=true,"Computed as current-month total nonfarm level minus prior-month level, in thousands."
2021-06-01,Jun 2021,2021,145820,755,755000,Available,https://data.bls.gov/timeseries/CES0000000001?output_view=data&include_graphs=true,"Computed as current-month total nonfarm level minus prior-month level, in thousands."
2021-07-01,Jul 2021,2021,146762,942,942000,Available,https://data.bls.gov/timeseries/CES0000000001?output_view=data&include_graphs=true,"Computed as current-month total nonfarm level minus prior-month level, in thousands."
2021-08-01,Aug 2021,2021,147314,552,552000,Available,https://data.bls.gov/timeseries/CES0000000001?output_view=data&include_graphs=true,"Computed as current-month total nonfarm level minus prior-month level, in thousands."
2021-09-01,Sep 2021,2021,147771,457,457000,Available,https://data.bls.gov/timeseries/CES0000000001?output_view=data&include_graphs=true,"Computed as current-month total nonfarm level minus prior-month level, in thousands."
2021-10-01,Oct 2021,2021,148572,801,801000,Available,https://data.bls.gov/timeseries/CES0000000001?output_view=data&include_graphs=true,"Computed as current-month total nonfarm level minus prior-month level, in thousands."
2021-11-01,Nov 2021,2021,149230,658,658000,Available,https://data.bls.gov/timeseries/CES0000000001?output_view=data&include_graphs=true,"Computed as current-month total nonfarm level minus prior-month level, in thousands."
2021-12-01,Dec 2021,2021,149816,586,586000,Available,https://data.bls.gov/timeseries/CES0000000001?output_view=data&include_graphs=true,"Computed as current-month total nonfarm level minus prior-month level, in thousands."
2022-01-01,Jan 2022,2022,150006,190,190000,Available,https://data.bls.gov/timeseries/CES0000000001?output_view=data&include_graphs=true,"Computed as current-month total nonfarm level minus prior-month level, in thousands."
2022-02-01,Feb 2022,2022,150825,819,819000,Available,https://data.bls.gov/timeseries/CES0000000001?output_view=data&include_graphs=true,"Computed as current-month total nonfarm level minus prior-month level, in thousands."
2022-03-01,Mar 2022,2022,151315,490,490000,Available,https://data.bls.gov/timeseries/CES0000000001?output_view=data&include_graphs=true,"Computed as current-month total nonfarm level minus prior-month level, in thousands."
2022-04-01,Apr 2022,2022,151623,308,308000,Available,https://data.bls.gov/timeseries/CES0000000001?output_view=data&include_graphs=true,"Computed as current-month total nonfarm level minus prior-month level, in thousands."
2022-05-01,May 2022,2022,151924,301,301000,Available,https://data.bls.gov/timeseries/CES0000000001?output_view=data&include_graphs=true,"Computed as current-month total nonfarm level minus prior-month level, in thousands."
2022-06-01,Jun 2022,2022,152358,434,434000,Available,https://data.bls.gov/timeseries/CES0000000001?output_view=data&include_graphs=true,"Computed as current-month total nonfarm level minus prior-month level, in thousands."
2022-07-01,Jul 2022,2022,153072,714,714000,Available,https://data.bls.gov/timeseries/CES0000000001?output_view=data&include_graphs=true,"Computed as current-month total nonfarm level minus prior-month level, in thousands."
2022-08-01,Aug 2022,2022,153362,290,290000,Available,https://data.bls.gov/timeseries/CES0000000001?output_view=data&include_graphs=true,"Computed as current-month total nonfarm level minus prior-month level, in thousands."
2022-09-01,Sep 2022,2022,153582,220,220000,Available,https://data.bls.gov/timeseries/CES0000000001?output_view=data&include_graphs=true,"Computed as current-month total nonfarm level minus prior-month level, in thousands."
2022-10-01,Oct 2022,2022,153939,357,357000,Available,https://data.bls.gov/timeseries/CES0000000001?output_view=data&include_graphs=true,"Computed as current-month total nonfarm level minus prior-month level, in thousands."
2022-11-01,Nov 2022,2022,154242,303,303000,Available,https://data.bls.gov/timeseries/CES0000000001?output_view=data&include_graphs=true,"Computed as current-month total nonfarm level minus prior-month level, in thousands."
2022-12-01,Dec 2022,2022,154342,100,100000,Available,https://data.bls.gov/timeseries/CES0000000001?output_view=data&include_graphs=true,"Computed as current-month total nonfarm level minus prior-month level, in thousands."
2023-01-01,Jan 2023,2023,154776,434,434000,Available,https://data.bls.gov/timeseries/CES0000000001?output_view=data&include_graphs=true,"Computed as current-month total nonfarm level minus prior-month level, in thousands."
2023-02-01,Feb 2023,2023,155066,290,290000,Available,https://data.bls.gov/timeseries/CES0000000001?output_view=data&include_graphs=true,"Computed as current-month total nonfarm level minus prior-month level, in thousands."
2023-03-01,Mar 2023,2023,155134,68,68000,Available,https://data.bls.gov/timeseries/CES0000000001?output_view=data&include_graphs=true,"Computed as current-month total nonfarm level minus prior-month level, in thousands."
2023-04-01,Apr 2023,2023,155375,241,241000,Available,https://data.bls.gov/timeseries/CES0000000001?output_view=data&include_graphs=true,"Computed as current-month total nonfarm level minus prior-month level, in thousands."
2023-05-01,May 2023,2023,155655,280,280000,Available,https://data.bls.gov/timeseries/CES0000000001?output_view=data&include_graphs=true,"Computed as current-month total nonfarm level minus prior-month level, in thousands."
2023-06-01,Jun 2023,2023,155880,225,225000,Available,https://data.bls.gov/timeseries/CES0000000001?output_view=data&include_graphs=true,"Computed as current-month total nonfarm level minus prior-month level, in thousands."
2023-07-01,Jul 2023,2023,156043,163,163000,Available,https://data.bls.gov/timeseries/CES0000000001?output_view=data&include_graphs=true,"Computed as current-month total nonfarm level minus prior-month level, in thousands."
2023-08-01,Aug 2023,2023,156261,218,218000,Available,https://data.bls.gov/timeseries/CES0000000001?output_view=data&include_graphs=true,"Computed as current-month total nonfarm level minus prior-month level, in thousands."
2023-09-01,Sep 2023,2023,156417,156,156000,Available,https://data.bls.gov/timeseries/CES0000000001?output_view=data&include_graphs=true,"Computed as current-month total nonfarm level minus prior-month level, in thousands."
2023-10-01,Oct 2023,2023,156576,159,159000,Available,https://data.bls.gov/timeseries/CES0000000001?output_view=data&include_graphs=true,"Computed as current-month total nonfarm level minus prior-month level, in thousands."
2023-11-01,Nov 2023,2023,156703,127,127000,Available,https://data.bls.gov/timeseries/CES0000000001?output_view=data&include_graphs=true,"Computed as current-month total nonfarm level minus prior-month level, in thousands."
2023-12-01,Dec 2023,2023,156857,154,154000,Available,https://data.bls.gov/timeseries/CES0000000001?output_view=data&include_graphs=true,"Computed as current-month total nonfarm level minus prior-month level, in thousands."
2024-01-01,Jan 2024,2024,157032,175,175000,Available,https://data.bls.gov/timeseries/CES0000000001?output_view=data&include_graphs=true,"Computed as current-month total nonfarm level minus prior-month level, in thousands."
2024-02-01,Feb 2024,2024,157238,206,206000,Available,https://data.bls.gov/timeseries/CES0000000001?output_view=data&include_graphs=true,"Computed as current-month total nonfarm level minus prior-month level, in thousands."
2024-03-01,Mar 2024,2024,157466,228,228000,Available,https://data.bls.gov/timeseries/CES0000000001?output_view=data&include_graphs=true,"Computed as current-month total nonfarm level minus prior-month level, in thousands."
2024-04-01,Apr 2024,2024,157530,64,64000,Available,https://data.bls.gov/timeseries/CES0000000001?output_view=data&include_graphs=true,"Computed as current-month total nonfarm level minus prior-month level, in thousands."
2024-05-01,May 2024,2024,157608,78,78000,Available,https://data.bls.gov/timeseries/CES0000000001?output_view=data&include_graphs=true,"Computed as current-month total nonfarm level minus prior-month level, in thousands."
2024-06-01,Jun 2024,2024,157695,87,87000,Available,https://data.bls.gov/timeseries/CES0000000001?output_view=data&include_graphs=true,"Computed as current-month total nonfarm level minus prior-month level, in thousands."
2024-07-01,Jul 2024,2024,157748,53,53000,Available,https://data.bls.gov/timeseries/CES0000000001?output_view=data&include_graphs=true,"Computed as current-month total nonfarm level minus prior-month level, in thousands."
2024-08-01,Aug 2024,2024,157757,9,9000,Available,https://data.bls.gov/timeseries/CES0000000001?output_view=data&include_graphs=true,"Computed as current-month total nonfarm level minus prior-month level, in thousands."
2024-09-01,Sep 2024,2024,157912,155,155000,Available,https://data.bls.gov/timeseries/CES0000000001?output_view=data&include_graphs=true,"Computed as current-month total nonfarm level minus prior-month level, in thousands."
2024-10-01,Oct 2024,2024,157945,33,33000,Available,https://data.bls.gov/timeseries/CES0000000001?output_view=data&include_graphs=true,"Computed as current-month total nonfarm level minus prior-month level, in thousands."
2024-11-01,Nov 2024,2024,158079,134,134000,Available,https://data.bls.gov/timeseries/CES0000000001?output_view=data&include_graphs=true,"Computed as current-month total nonfarm level minus prior-month level, in thousands."
2024-12-01,Dec 2024,2024,158316,237,237000,Available,https://data.bls.gov/timeseries/CES0000000001?output_view=data&include_graphs=true,"Computed as current-month total nonfarm level minus prior-month level, in thousands."
2025-01-01,Jan 2025,2025,158268,-48,-48000,Available,https://data.bls.gov/timeseries/CES0000000001?output_view=data&include_graphs=true,"Computed as current-month total nonfarm level minus prior-month level, in thousands."
2025-02-01,Feb 2025,2025,158310,42,42000,Available,https://data.bls.gov/timeseries/CES0000000001?output_view=data&include_graphs=true,"Computed as current-month total nonfarm level minus prior-month level, in thousands."
2025-03-01,Mar 2025,2025,158377,67,67000,Available,https://data.bls.gov/timeseries/CES0000000001?output_view=data&include_graphs=true,"Computed as current-month total nonfarm level minus prior-month level, in thousands."
